"","person_id","year","perf_a","perf_b","performance","perf_c","performance_c","status","avg_absences","absence","id_s_fr","age","female","department"
"12845",106083,2017,NA,NA,1,-0.27319843,1,NA,NA,NA,NA,NA,NA,NA
"12846",106084,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12847",106084,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12848",106084,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12849",106084,2016,NA,NA,1,NA,NA,"Active",0.10202892,1,NA,NA,NA,NA
"12850",106084,2017,-0.554670776,NA,1,-0.55467081,1,NA,NA,NA,NA,NA,NA,NA
"12851",106089,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12852",106089,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12853",106089,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12854",106089,2016,-1.922284555,-1.225419655,1,-1.7780437,1,"Active",0.66485101,1,NA,NA,NA,NA
"12855",106089,2017,-1.103349997,NA,1,-1.1020079,1,NA,NA,NA,NA,NA,NA,NA
"12856",106090,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12857",106090,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12858",106090,2015,NA,NA,1,NA,NA,"Active",2.0812585,1,3000010161,31,0,1
"12859",106090,2016,-1.082873255,NA,1,-0.8666634,1,"Active",0.97945493,1,NA,NA,NA,NA
"12860",106090,2017,-0.53167157,NA,1,-0.53167158,1,NA,NA,NA,NA,NA,NA,NA
"12861",106101,2013,NA,NA,1,NA,NA,NA,NA,NA,7041520010,29,1,1
"12862",106101,2014,NA,NA,1,NA,NA,"Active",8.8697786,1,3000010134,30,1,1
"12863",106101,2015,-1.260119398,NA,1,-0.88725561,1,NA,NA,NA,NA,NA,NA,NA
"12864",106101,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12865",106101,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12866",106114,2013,-1.074966285,NA,1,-1.0749663,1,"Active",8.1872015,1,3000010360,30,1,1
"12867",106114,2014,-0.357076467,NA,1,0.33501726,1,"Active",8.940197,1,3000010360,31,1,1
"12868",106114,2015,0.005442338,NA,1,0.061996616,1,"Active",2.0266986,1,3000010360,32,1,1
"12869",106114,2016,0.076265213,NA,1,-0.47519183,1,"Active",0.5415259,1,NA,NA,NA,NA
"12870",106114,2017,-1.007356407,NA,1,-0.59819901,1,NA,NA,NA,NA,NA,NA,NA
"12871",106135,2013,0.330959424,NA,1,0.33095944,1,"Active",7.9388041,1,3000010170,27,1,1
"12872",106135,2014,1.050947424,NA,1,0.4872936,1,"Active",8.2925692,1,3000010170,28,1,1
"12873",106135,2015,0.428615908,NA,1,0.30486068,1,"Active",1.5311445,1,3000010170,29,1,1
"12874",106135,2016,1.469912663,NA,1,1.4840317,1,"Active",0.45945799,1,NA,NA,NA,NA
"12875",106135,2017,4.913825477,NA,1,1.0299852,1,NA,NA,NA,NA,NA,NA,NA
"12876",106146,2013,-0.356440485,NA,1,-0.35644048,1,"Active",8.8919172,1,3000010324,47,1,1
"12877",106146,2014,0.036600139,NA,1,-0.34306201,1,"Active",8.0718498,1,3000010324,48,1,1
"12878",106146,2015,-0.756258932,0.984755356,1,-0.5244534,1,"Active",1.7888122,1,3000010324,49,1,1
"12879",106146,2016,-0.449044497,-0.215605101,1,-0.30236512,1,"Active",0.90718114,1,NA,NA,NA,NA
"12880",106146,2017,-0.969599409,NA,1,-0.51174086,1,NA,NA,NA,NA,NA,NA,NA
"12881",106147,2013,-0.54031299,NA,1,-0.54031301,1,"",8.9189224,1,3000010318,29,0,1
"12882",106147,2014,NA,NA,1,NA,NA,"",8.9432526,1,3000010318,30,0,1
"12883",106147,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12884",106147,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12885",106147,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12886",106154,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12887",106154,2014,NA,NA,1,NA,NA,"Active",8.3848343,1,NA,NA,NA,NA
"12888",106154,2015,NA,NA,1,NA,NA,"Active",1.2482246,1,3000010857,47,1,1
"12889",106154,2016,-1.096286848,NA,1,-1.0962869,1,"Active",0.049785044,1,NA,NA,NA,NA
"12890",106154,2017,-0.207801729,NA,1,-0.20780173,1,NA,NA,NA,NA,NA,NA,NA
"12891",106184,2013,-0.113263714,NA,1,-0.11326372,1,"Active",8.1560583,1,NA,NA,NA,NA
"12892",106184,2014,0.042644394,NA,1,-1.0909179,1,"",8.4454508,1,NA,NA,NA,NA
"12893",106184,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12894",106184,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12895",106184,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12896",106206,2013,NA,NA,1,NA,NA,"",8.2925415,1,3000010225,31,1,1
"12897",106206,2014,-0.456982318,-0.494014599,1,-0.63571191,1,"Active",8.6417236,1,3000010225,32,1,1
"12898",106206,2015,-1.805770159,0.037832399,1,-1.2245333,1,"Active",1.4129949,1,3000010225,33,1,1
"12899",106206,2016,-2.494340294,-2.246491878,1,-2.2751577,1,NA,NA,NA,NA,NA,NA,NA
"12900",106206,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12901",106210,2013,-0.366077763,NA,1,-0.36607778,1,"Active",8.4195852,1,3000010161,30,1,1
"12902",106210,2014,0.499643415,NA,1,0.4212184,1,"Active",8.9104567,1,3000010161,31,1,1
"12903",106210,2015,0.970354001,0.714420794,1,0.61562002,1,"Active",1.7454951,1,3000010161,32,1,1
"12904",106210,2016,NA,NA,1,-0.61537611,1,"Active",0.26174936,1,NA,NA,NA,NA
"12905",106210,2017,0.495310203,NA,1,0.69777244,1,NA,NA,NA,NA,NA,NA,NA
"12906",106231,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12907",106231,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12908",106231,2015,NA,NA,1,NA,NA,"Active",1.946087,1,NA,42,1,1
"12909",106231,2016,0.013666244,NA,1,0.013666245,1,"Active",0.49860659,1,NA,NA,NA,NA
"12910",106231,2017,-0.097853228,NA,1,-0.25232428,1,NA,NA,NA,NA,NA,NA,NA
"12911",106238,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12912",106238,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12913",106238,2015,NA,NA,1,NA,NA,"Active",1.7942381,1,NA,34,1,1
"12914",106238,2016,-0.672404002,NA,1,-0.67240399,1,"Active",0.389961,1,NA,NA,NA,NA
"12915",106238,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
