person_id,year,perf_a,perf_b
25948,2015,3.037378198,-0.192084576
25948,2016,,
25948,2017,,
25973,2013,0.039430409,
25973,2014,-0.647641137,
25973,2015,,
25973,2016,,
25973,2017,,
25975,2013,,
25975,2014,,
25975,2015,,
25975,2016,0.747127357,
25975,2017,0.804777856,
26021,2013,0.971175934,-0.679030561
26021,2014,1.66806623,0.6126235
26021,2015,1.026083724,0.101934407
26021,2016,1.224961011,0.102499053
26021,2017,,
26103,2013,1.218150749,
26103,2014,0.142010147,
26103,2015,-0.921975014,
26103,2016,0.420745658,
26103,2017,0.045076067,
26156,2013,-0.223109945,
26156,2014,0.714704036,
26156,2015,-0.315966819,
26156,2016,-0.523034445,
26156,2017,,
26164,2013,0.20267169,-0.570660634
26164,2014,-0.527901088,1.234988611
26164,2015,0.727245718,-0.197740306
26164,2016,0.422724434,0.916259417
26164,2017,,
26255,2013,-0.395869005,
26255,2014,-1.847796688,
26255,2015,-1.481291234,
26255,2016,-0.617227123,
26255,2017,0.453845121,
26386,2013,-0.546196369,
26386,2014,-0.177523402,
26386,2015,,
26386,2016,,
26386,2017,,
26494,2013,0.205195853,0.777993697
26494,2014,0.427273139,0.772022641
26494,2015,0.005478278,0.742047451
26494,2016,-0.271828505,0.751342358
26494,2017,0.165134705,
26557,2013,-0.676073779,
26557,2014,-1.987040687,
26557,2015,,
26557,2016,,
26557,2017,,
26585,2013,0.687570298,-0.228434162
26585,2014,,
26585,2015,,
26585,2016,,
26585,2017,,
26617,2013,,
26617,2014,,
26617,2015,,
26617,2016,-0.982742129,
26617,2017,,
26663,2013,1.329253961,
26663,2014,1.601963729,
26663,2015,0.340462185,
26663,2016,4.682625589,
26663,2017,0.932369263,
26959,2013,-0.542512076,
26959,2014,,
26959,2015,,
26959,2016,,
26959,2017,,
26968,2013,0.670460162,
26968,2014,0.385229657,
26968,2015,0.468080675,
26968,2016,0.098877823,
26968,2017,-1.290022648,
27002,2013,0.907296445,0.296033503
27002,2014,0.599148097,-0.186569938
27002,2015,,
27002,2016,,
27002,2017,,
27125,2013,,
27125,2014,,
27125,2015,-0.133531604,
27125,2016,-1.397602099,
27125,2017,0.122586254,
27150,2013,,
27150,2014,-0.506505915,
27150,2015,,
27150,2016,,
27150,2017,,
27166,2013,-0.617970345,
27166,2014,-0.394902487,
27166,2015,-0.054440754,
27166,2016,,
27166,2017,,
27227,2013,0.843493319,
27227,2014,0.699724158,
27227,2015,1.045755964,
27227,2016,0.61415711,
27227,2017,0.925619346,
27247,2013,0.068963798,
27247,2014,0.858598341,
27247,2015,1.025169836,
27247,2016,0.647319529,
27247,2017,-0.117944841,
27279,2013,0.5715143,
27279,2014,0.536989936,
27279,2015,-0.266778141,
27279,2016,-0.537212627,
27279,2017,,
27322,2013,-0.590162701,
27322,2014,-1.167568851,
27322,2015,,
27322,2016,,
27322,2017,,
27356,2013,1.915530385,
27356,2014,0.85895784,
27356,2015,1.004783697,
27356,2016,2.106252377,
27356,2017,0.178287303,
27464,2013,1.336568053,
27464,2014,0.967522315,
27464,2015,1.284737786,
27464,2016,0.918582921,
27464,2017,2.411243915,
27560,2013,-0.16437897,
27560,2014,0.041681459,
27560,2015,0.417880912,
27560,2016,0.021219,
27560,2017,-0.63411769,
27712,2013,0.456212251,0.623241269
27712,2014,0.903758489,1.096969836
27712,2015,0.738118876,0.293316153
27712,2016,0.983185586,-0.286618278
27712,2017,0.263475938,
27718,2013,-0.22242854,
27718,2014,0.338841299,
27718,2015,-1.538733599,
27718,2016,-0.469167433,
27718,2017,,
27816,2013,,
27816,2014,0.025345844,
27816,2015,,
27816,2016,,
27816,2017,,
27895,2013,-1.060656304,
27895,2014,1.16237013,
27895,2015,-2.359377738,
27895,2016,-2.057714584,
27895,2017,4.19791934,
27915,2013,0.493651086,
27915,2014,0.593740163,
27915,2015,0.671628331,
